source,path,rows,columns,status,message
csv,Team.csv,13,3,LOADED,
csv,Player.csv,523,8,LOADED,
csv,Player_Match.csv,12694,5,LOADED,
csv,Season.csv,9,5,LOADED,
csv,IPL Player Stat.csv,605,17,LOADED,
csv,ipl_2008_2024_complete.csv,2217,28,LOADED,
csv,Match.csv,577,19,LOADED,
csv,Ball_by_Ball.csv,136590,16,LOADED,
csv,IPLPlayerAuctionData.csv,970,6,LOADED,
excel,ipl_auction_2025_sold_players.xlsx::2025,182,8,LOADED,
excel,ipl_auction_2025_sold_players.xlsx::2024,72,7,LOADED,
excel,ipl_auction_2025_sold_players.xlsx::2023,80,7,LOADED,
excel,ipl_auction_2025_sold_players.xlsx::2022,204,7,LOADED,
excel,ipl_auction_2025_sold_players.xlsx::master,182,10,LOADED,
excel,ipl_auction_2025_sold_players.xlsx::final,182,10,LOADED,
excel,retention_players.xlsx::retension_players,46,4,LOADED,
excel,retention_players.xlsx::raw,10,7,LOADED,
csv,Player.csv,523,8,LOADED,
csv,IPL Player Stat.csv,605,17,LOADED,
csv,ipl_2008_2024_complete.csv,2217,28,LOADED,
